Timestamp,Tipe Produk,Kategori Produk,Deskripsi ,Lokasi,Harga,Images,Luas Tanah,Luas Bangunan,Tipe Sertifikat,Brand,Model,Tahun,Kondisi,Kapasitas,Tipe Mobil,Brand,Model,Tahun,Total KM,Transmisi,Jenis Bahan Bakar,Kapasitas Mesin,Warna,Material,Berat (gram),Karat (untuk emas),Brand,Kondisi,Nama Produk
12/11/2025 16:02:40,Properti,Lelang,"RUMAH KANTOR EKS HOTEL 
TANAH 326 M, Bangunan 918 M 
Strategis di Kawasan Kemang Utara

Tipe : Rumah Kantor / Hotel 
Luas bangunan : 918 M
Luas tanah         : 326 M 
Kondisi                : Terawat
Hadap                 : Utara
Lantai                  : menyusul
Sertifikat             : SHM 
Jalur mobil          : 2 arah 

Selling point : 
- 5 menit ke RS Siloam Mampang
- ⁠10 menit ke MRT Haji Nawi
- ⁠20 menit ke toll cawang
- ⁠10 menit ke Lippo Mall Kemang
- ⁠5 Menit ke halte bussway",Kawasan Kemang Utara,"8,671,000,000","https://drive.google.com/open?id=1DKWjMd7hRETEnZaOxN1RvyuP0O1Yph-P, https://drive.google.com/open?id=1jee8lyzJM3qogdXG1oj0ijMBtTrBIecf, https://drive.google.com/open?id=1nO5q-s4lXvbvmj89omMxn7qBOituH5PZ https://drive.google.com/open?id=1C6c4LYMoQgbnuO-lyuQQI4H4lVls4ej4",326,,,,,,,,,,,,,,,,,,,,,,
13/11/2025 11:09:49,Properti,Lelang,"RUMAH TINGGAL 
TANAH 871 M, BANGUNAN 608 M
Strategis di Kawasan Cilandak 

Harga jual : 
Tipe : Rumah Tinggal
Luas bangunan : 608 M
Luas tanah         : 871 M
Kondisi                : kurang terawat
Hadap                 : Utara
Lantai                  : 2 
Air Pdam             : ✅
Sertifikat             : SHM
Jalur mobil          : 2 arah

Selling point : 
* 10 Menit ke RS Fatmawati
* ⁠10 Menit ke MRT Fatmawati
* ⁠10 Menit ke Cilandak Town Square
* ⁠15 Menit ke halte Fatmawati
* ⁠20 Menit ke Urban Forest Cipete","Jl Intan Rspp Utara No. kav 8, Cilandak Bar., Kec Cilandak, Kota Jakarta Selatan, DKI Jakarta",10.305.000.000,"https://drive.google.com/open?id=1jK_y9O0PupxNyNdgmj-t037dkxD0s8b1, https://drive.google.com/open?id=1yoZ835EZKhAGkdjikrA-Kfy4E0StBsxx, https://drive.google.com/open?id=1GsGeIyI_og68ht44KVbtdXmSxwBDBFCD",871,608,SHM,,,,,,,,,,,,,,,,,,,,
22/11/2025 12:13:15,Properti,Lelang,"⦁        14 menit dari Wendit Recreational Park
⦁        14 menit dari Pintu Tol Kota Malang
⦁        17 menit dari RS. TNI AU Lanud Andulrachman Saleh
⦁        19 menit dari Kampus Binus Malang
⦁        19 Menit dari Bandara Abdul Rachman Saleh","Desa Bogotanjung, Kec. Gabus, Kab. Pati, Prov. Jawa Tengah",Rp. 730.000.000,"https://drive.google.com/open?id=1NC4LbXRp2zGMiv2sb_gu-4sQmCYy4OVY, https://drive.google.com/open?id=1R5s52yfdP1e5vpfdZz8WIjxVN7yvoLen, https://drive.google.com/open?id=1soba2SUIajRhXWH6wsS0nsXm-deu83Gl, https://drive.google.com/open?id=1Ut996Ab2DUnBVl63ySGp28OLg93r7CmH",978,42,SHM,,,,,,,,,,,,,,,,,,,,SEGERA LELANG GUDANG
22/11/2025 12:15:49,Properti,Lelang,"Tipe 		: Ruko
Luas bangunan 	: 276 M
Luas tanah	: 140 M
Kondisi		: Cukup Terawat
Hadap		: Timur
Lantai		: 2 
Air Pdam	: ✅
Sertifikat	: SHM

 
⦁	10 Menit dari Malang Town Square
⦁	10 menit dari Universitas Negeri Malang 
⦁	20 menit dari RSUD Dr. Saiful Anwar
⦁	20 menit dari Alun-Alun Malang
⦁	30 menit dari Hawai Waterpark","Jl. Gajayana, Kelurahan Ketawanggede, Kecamatan Lowokwaru, Kota Malang",1.532.000.000,"https://drive.google.com/open?id=1iAglJSkpx6Y-BW723tOHPWkWfcl-9feU, https://drive.google.com/open?id=1rnGTuAXB_ouDZMGKo0i5-5C60C8W1a1T, https://drive.google.com/open?id=1nFPE1rB-Eujf-po34-gMNB3Z_UJarOpk, https://drive.google.com/open?id=1gz2DuYu8vOVvALumPJmseRfOs04WPWf1",140,276,SHM,,,,,,,,,,,,,,,,,,,,SEGERA LELANG RUKO 2 LANTAI
22/11/2025 12:18:25,Properti,Lelang,"Tipe 		: Tanah dan Bangunan
Luas bangunan 	: 25,5 M
Luas tanah	: 554 M
Kondisi		: Kurang Terawat
Hadap		: Utara
Air Pdam	: ✅
Sertifikat	: SHM

 
⦁	15 menit dari Universitas Brawijaya
⦁	10 menit dari RS UMM
⦁	10 menit dari Taman Rekreasi Sengkaling
⦁	25 menit Alun-Alun Malang
⦁	30 menit dari Stasiun Malang Kota","Jl. Mertojoyo Barat, Kelurahan Merjosari Kecamatan Lowokwaru Kota Malang",1.000.000.000,"https://drive.google.com/open?id=1JXLtC0E0FPzNExyWyyGNeun6F2tbRTz-, https://drive.google.com/open?id=1OjNJa-W-wvTBHigHEkSqrFiPBdZqo1tW, https://drive.google.com/open?id=1rQGwtD1dcjGV3u0H7vy-ZxdahGO5a4rI, https://drive.google.com/open?id=1_xGE7uYxxOOi1qe1yrHeD-XyABRnK5Ay, https://drive.google.com/open?id=1PRBY8G17Dd0ZEKcYz1rlXpFp3yfkZ1D0",554,"25,5",SHM,,,,,,,,,,,,,,,,,,,,SEGERA LELANG TANAH DAN BANGUNAN
22/11/2025 12:20:09,Properti,Lelang,"Tipe 		: Rumah Tinggal
Luas bangunan 	: 255 M
Luas tanah	: 200 M
Kondisi		: Kurang Terawat
Hadap		: Timur
Lantai		: 2 
Air Pdam	: ✅
Sertifikat	: SHGB

 
⦁	4 menit dari GOR Ken Arok
⦁	5 menit dari Alun-Alun Kedungkandang
⦁	11 menit dari Stadion Gelora Tlogowaru
⦁	10 menit dari RSUD Kota Malang
⦁	30 menit dari Mall Olympic Garden (MOG)","Perumahan Puncak Buring Indah Blok B7 No. 18, Kelurahan Buring, Kecamatan Kedungkandang, Kota Malang",Rp. 850.000.000,"https://drive.google.com/open?id=1PKVPY9FjBhGyQZE53c9W2RQLx1I2qD6t, https://drive.google.com/open?id=1okomRFfRM4rJkfy8B4Ewcau6hG8-dkqU, https://drive.google.com/open?id=1ZlRPsTvepRGvn3BfCcHGQVIDXslT30Nh",200,255,SHGB,,,,,,,,,,,,,,,,,,,,SEGERA LELANG RUMAH 2 LANTAI
22/11/2025 12:22:07,Properti,Lelang,"Tipe 		: Rumah Tinggal
Luas bangunan 	: 204 M
Luas tanah	: 202 M
Kondisi		: Kurang Terawat
Hadap		: Barat
Lantai		: 2 
Air Pdam	: ✅
Sertifikat	: SHGB

 
⦁	4 menit dari GOR Ken Arok
⦁	5 menit dari Alun-Alun Kedungkandang
⦁	11 menit dari Stadion Gelora Tlogowaru
⦁	10 menit dari RSUD Kota Malang
⦁	30 menit dari Mall Olympic Garden (MOG)","Perumahan Puncak Buring Indah Blok B7 No. 06, Kelurahan Buring, Kecamatan Kedungkandang, Kota Malang",Rp. 700.000.000,"https://drive.google.com/open?id=18grkZC6d61ztj699nzYMjDh6r54tQAUS, https://drive.google.com/open?id=1Lj19rpbqYwIUY-Rsjb-KDQqFrVowMeEn, https://drive.google.com/open?id=1ArJpaS146I4q4rDf7dnegOx8ziwDzmJr, https://drive.google.com/open?id=1HkH42v74D7c2mysvKOFkUqmSxtiqjN1u",202,204,SHGB,,,,,,,,,,,,,,,,,,,,SEGERA LELANG RUMAH 2 LANTAI
22/11/2025 12:24:27,Properti,Lelang,"Tipe 		: Rumah Tinggal
Luas bangunan 	: 93 M
Luas tanah	: 150 M
Kondisi		: Cukup Terawat
Hadap		: Barat
Lantai		: 1 
Air Pdam	: ✅
Sertifikat	: SHGB

 
⦁	5 menit dari Universitas Muhammadiyah Malang III
⦁	16 menit dari Jatim Park III
⦁	17 menit dari Mall Dinoyo City
⦁	17 menit dari Malang Skyland
⦁	20 menit dari Pintu Tol Singosari","Desa Tegalgondo, Kecamatan Karangploso, Kabupaten Malang",Rp. 728.100.000,"https://drive.google.com/open?id=18sA0rzUsUBVeKhLgLzJxteGlUACiBC70, https://drive.google.com/open?id=14b5WfCRkio_o7s9SL4L5T0GIHHxIawPs, https://drive.google.com/open?id=1I8CqC8y3nBFJexDH0AXo9hnHEIp0ClLg",150,93,SHGB,,,,,,,,,,,,,,,,,,,,SEGERA LELANG RUMAH TINGGAL
22/11/2025 12:26:32,Properti,Lelang,"Tipe                 : Tanah dan Bangunan
Luas bangunan         : LB kantor ± 44 m² / LB los kerja  ± 670 m²
Luas tanah        : 2.098 m²
Kondisi                : Cukup Terawat
Hadap                : Barat
Lantai                : 1
Air                : ✅
Sertifikat        : SHM

 
⦁        8 menit dari Pintu Tol Kota Malang
⦁        10 menit dari Bandara Abdul Rachman Saleh
⦁        14 menit dari Universitas Negeri Malang
⦁        15 menit dari Terminal Arjosari Malang
⦁        20 menit dari Rumah Sakit Lavalette","Jalan Raya Asrikaton Gang Anggrek 2 RT 10 RW 03, Desa Asrikaton, Kec. Pakis, Kab. Malang",Rp. 3.265.020.000,"https://drive.google.com/open?id=1EmLGbxODWt1228-tGnGJmRfe3qXSP_g7, https://drive.google.com/open?id=1IEsHpYPVqLMd365TKoaKzH8JUGtha07v, https://drive.google.com/open?id=1YRU5MeaZcJcKe_hXZ0wfaD3eTkPoNahB, https://drive.google.com/open?id=1u_vEuWbtQUbHib0hEfJ6p7no0URmMh54",2.098,714,SHM,,,,,,,,,,,,,,,,,,,,SEGERA LELANG TANAH DAN BANGUNAN
22/11/2025 12:28:00,Properti,Lelang,"Tipe 		: Rumah Kos
Luas bangunan 	: 162 M
Luas tanah	: 103 M
Kondisi		: Cukup Terawat
Hadap		: Barat
Lantai		: 2
Air PDAM	: ✅
Sertifikat	: SHGB

 
⦁	5 menit dari Universitas Muhammadiyah Malang III
⦁	10 menit dari Malang Dinoyo City
⦁	10 menit dari Taman Rekreasi Sengkaling
⦁	10 menit dari Rumah Sakit UMM
⦁	30 menit dari Gerbang tol Singosari","Perumahan Mutiara Kampus Blok A-11,  Desa Tegalgondo, Kec. Karangploso, Kab. Malang",Rp. 900.900.000,"https://drive.google.com/open?id=1NI1RzCDilSyObDclwv-z8cRijisAgG9g, https://drive.google.com/open?id=1MXHxN73N9dk8yrzXuPdao9jNRvS3EBzB, https://drive.google.com/open?id=1HKlWKZ8Eq9qDhoxBJYRNc-L1kSFfiFfe",103,162,SHGB,,,,,,,,,,,,,,,,,,,,SEGERA LELANG RUMAH KOS
